,Strain,Type,Rating,Effects,Flavor,Description,cleaned_effects,cleaned_flavor,word_count,lem_description
2217,Urkle-Train-Haze,hybrid,4.9,"Happy,Euphoric,Uplifted,Talkative,Relaxed","Grape,Sweet,Pine","An Arizona Natural Selections original, Urkle Train Haze was created using the genetics of Ghost Train Haze and Purple Urkle. These two parent strains are often described as polar opposites of each other, and yet crossing them yields a pleasantly uplifting and euphoric result. Urkle Train Haze’s fragrance and flavor is that of an invigorating sweet, berry, and pine that will linger long after consumption. With predominantly indica effects, this strain holds a feeling of relaxation that will leave you smiling and ready to raid the fridge.",happy euphoric uplifted talkative relaxed,grape sweet pine,87,an arizona natural selection original urkle train haze wa created using the genetics of ghost train haze and purple urkle these two parent strain are often described a polar opposite of each other and yet crossing them yield a pleasantly uplifting and euphoric result urkle train haze s fragrance and flavor is that of an invigorating sweet berry and pine that will linger long after consumption with predominantly indica effect this strain hold a feeling of relaxation that will leave you smiling and ready to raid the fridge
2218,Vcdc,hybrid,4.5,"Relaxed,Happy,Euphoric,Focused,Uplifted","Earthy,Berry,Citrus","VCDC is a hybrid, bred by Moxie Seeds and Extracts, that crosses Viper City OG with ACDC. With its compelling mix of genetics, VCDC is recognized for its high-CBD content, taking 1st for CBD flower at the 2015 SoCal Medical Cup.",relaxed happy euphoric focused uplifted,earthy berry citrus,41,vcdc is a hybrid bred by moxie seed and extract that cross viper city og with acdc with it compelling mix of genetics vcdc is recognized for it high cbd content taking 1st for cbd flower at the 2015 socal medical cup
2219,Az-Super-Sour-Og,hybrid,4.9,"Uplifted,Happy,Giggly,Energetic,Relaxed","Pungent,Sage,Woody","VOTS AZ Super Sour OG from Valley of the Sun is a sour and skunky hybrid strain that can test as high as 24% THC. Its sativa-dominant genetics ease consumers into euphoric focus, making it a perfect daytime strain for creative pastimes and social gatherings. The uplifting qualities are recommended for depression and stress, but novice consumers should take caution as its psychoactive effects can become overwhelming in large doses.",uplifted happy giggly energetic relaxed,pungent sage woody,70,vots az super sour og from valley of the sun is a sour and skunky hybrid strain that can test a high a 24 thc it sativa dominant genetics ease consumer into euphoric focus making it a perfect daytime strain for creative pastime and social gathering the uplifting quality are recommended for depression and stress but novice consumer should take caution a it psychoactive effect can become overwhelming in large dos
2220,Vader-Og,indica,4.5,"Sleepy,Relaxed,Happy,Euphoric,Hungry","Earthy,Flowery,Sweet","Vader OG by Ocean Grown Seeds is the namesake strain of one of OGS’s master growers, Vader. This cross began in 2006 with the combination of SFV OG and Larry OG, and evolved over a laborious process of identifying the best phenotypes to breed forward. By 2009, Vader OG had become a mainstay of the Ocean Grown Seeds roster and gave way to several new OG crosses. The terpene profile is rich with pinene, spice, and hash. Vader OG’s effects are euphoric while remaining strongly indica-dominant, locking consumers to their seat. Its effects are ideal for curbing pain and stress, but may also be used as a sleep aid in the proper dosage. ",sleepy relaxed happy euphoric hungry,earthy flowery sweet,113,vader og by ocean grown seed is the namesake strain of one of ogs s master grower vader this cross began in 2006 with the combination of sfv og and larry og and evolved over a laborious process of identifying the best phenotype to breed forward by 2009 vader og had become a mainstay of the ocean grown seed roster and gave way to several new og cross the terpene profile is rich with pinene spice and hash vader og s effect are euphoric while remaining strongly indica dominant locking consumer to their seat it effect are ideal for curbing pain and stress but may also be used a a sleep aid in the proper dosage
2221,Valentine-X,hybrid,4.4,"Relaxed,Creative,Tingly,Euphoric,Focused","Citrus,Earthy,Pungent","Named for St. Valentine, the patron saint of epilepsy, Valentine X is a 50/50 hybrid sought after for its exceptional healing powers and a CBD:THC ratio of 25:1. It is a variant of the remarkable ACDC that is cherished for its healing properties. Many find Valentine X to be a great help for seizure disorders, inflammation, and when treating cancer. In addition to its medicinal effects this strain is known to spark creative thinking.",relaxed creative tingly euphoric focused,citrus earthy pungent,74,named for st valentine the patron saint of epilepsy valentine x is a 50 50 hybrid sought after for it exceptional healing power and a cbd thc ratio of 25 1 it is a variant of the remarkable acdc that is cherished for it healing property many find valentine x to be a great help for seizure disorder inflammation and when treating cancer in addition to it medicinal effect this strain is known to spark creative thinking
2222,Valley-Ghash,hybrid,4.4,"Euphoric,Relaxed,Sleepy,Hungry,Happy","Sweet,Berry,Tropical","Valley Ghash is a hybrid strain that combines genetics from G13, Hash Plant, SFV OG Kush, and Jack’s Cleaner. Perfect for a relaxing day or evening at home, Valley Ghash provides a gentle and mellow surge of euphoria that calms worries while boosting the mood.",euphoric relaxed sleepy hungry happy,sweet berry tropical,45,valley ghash is a hybrid strain that combine genetics from g13 hash plant sfv og kush and jack s cleaner perfect for a relaxing day or evening at home valley ghash provides a gentle and mellow surge of euphoria that calm worry while boosting the mood
2223,Valley-Girl,hybrid,4.7,"Happy,Relaxed,Euphoric,Energetic,Uplifted","Pine,Flowery,Earthy","From Archive Seed Bank comes Valley Girl, a balanced hybrid strain that descends from SFV OG and Face Off OG. Resin-packed buds mark this strain’s elevated THC potential, and consumers with a high tolerance may look to Valley Girl for new euphoric heights. ",happy relaxed euphoric energetic uplifted,pine flowery earthy,43,from archive seed bank come valley girl a balanced hybrid strain that descends from sfv og and face off og resin packed bud mark this strain s elevated thc potential and consumer with a high tolerance may look to valley girl for new euphoric height
2224,Vanilla-Kush,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Vanilla,Sweet,Flowery","This indica strain comes from Barney’s Farm in Amsterdam and clinched 2nd place overall at the 2009 High Times Cannabis Cup for the coffee shop and seed company. Bred from Afghan and Kashmir strains, this Kush beauty is a gift to the senses with her notes of vanilla, lavender, and a hint of citrus. Plants flower in 8 weeks and produce large, soft flowers that are light green with hints of orange. This strain has a high THC content often measuring over 20%, making it a potent choice that might be strong for new users.",relaxed happy sleepy euphoric hungry,vanilla sweet flowery,95,this indica strain come from barney s farm in amsterdam and clinched 2nd place overall at the 2009 high time cannabis cup for the coffee shop and seed company bred from afghan and kashmir strain this kush beauty is a gift to the sens with her note of vanilla lavender and a hint of citrus plant flower in 8 week and produce large soft flower that are light green with hint of orange this strain ha a high thc content often measuring over 20 making it a potent choice that might be strong for new user
2225,Vanilluna,hybrid,4.8,"Sleepy,Happy,Relaxed","Sweet,Blueberry,Lavender","World renowned Oregon breeder DJ Short used his legendary Blueberry genetics to create this 50/50 hybrid, Vanilluna. By pollinating a sativa-dominant female Blueberry with the original Blueberry indica male, he created a medium-tall, Kush-like plant with short internodal spacing, dark green foliage, and fragrant spade-shaped buds. The terpenes produced by Vanilluna give off subtle, complex aromas of creamy vanilla and honey with undertones of flowers and melon. Its high is very long-lasting, dreamy, and comfortable, especially considering it has THC levels up to 24%. ",sleepy happy relaxed,sweet blueberry lavender,84,world renowned oregon breeder dj short used his legendary blueberry genetics to create this 50 50 hybrid vanilluna by pollinating a sativa dominant female blueberry with the original blueberry indica male he created a medium tall kush like plant with short internodal spacing dark green foliage and fragrant spade shaped bud the terpene produced by vanilluna give off subtle complex aroma of creamy vanilla and honey with undertone of flower and melon it high is very long lasting dreamy and comfortable especially considering it ha thc level up to 24
2226,Velvet-Bud,sativa,3.9,"Uplifted,Energetic,Euphoric,Talkative,Aroused","Sweet,Citrus,Spicy/Herbal","Like the name suggests, Velvet Bud will produce a smoke that is smooth like velvet. A mostly sativa that crosses Dutch Treat and Blueberry, this fruity strain is a great choice for anyone struggling with depression, anxiety, and stress.",uplifted energetic euphoric talkative aroused,sweet citrus spicy herbal,39,like the name suggests velvet bud will produce a smoke that is smooth like velvet a mostly sativa that cross dutch treat and blueberry this fruity strain is a great choice for anyone struggling with depression anxiety and stress
